37.24	0.60	4.04
37.53	0.56	2.84
33.92	1.07	3.20
26.59	1.05	3.42
20.05	1.06	2.32
29.41	1.83	3.72
23.28	1.78	1.94
14.08	0.70	1.85
30.88	0.96	3.58
29.74	1.20	3.57
36.36	0.84	3.99
16.89	1.41	2.06
35.17	1.57	2.92
21.91	0.61	1.70
36.38	0.63	3.35
25.15	1.14	2.75
23.67	0.61	3.29
29.74	0.82	2.63
38.74	1.22	4.59
13.48	0.68	1.37
34.10	1.51	3.69
22.02	1.08	2.88
16.35	0.98	1.87
30.32	1.08	3.59
27.99	1.26	2.26
14.03	0.73	1.88
13.88	1.16	2.71
18.94	0.86	2.08
25.04	1.33	2.76
20.88	0.63	2.77
29.07	1.28	3.27
33.07	0.72	3.89
24.19	0.51	2.47
27.25	0.71	2.87
10.35	1.58	1.33
39.78	1.41	4.19
36.27	0.84	3.67
23.41	1.19	3.24
29.46	0.61	2.69
11.47	0.59	1.78
12.65	0.71	1.10
14.01	1.09	2.15
15.80	1.76	3.07
16.96	1.15	2.71
11.04	1.22	1.74
34.01	1.57	3.33
35.92	1.62	2.87
11.10	1.72	1.15
13.26	1.18	2.17
38.50	1.34	3.96
25.02	1.45	2.51
10.37	0.56	1.80
40.56	1.59	4.18
12.51	1.73	1.65
23.09	0.99	2.70
30.90	1.65	3.04
34.34	1.54	3.70
14.82	0.97	1.50
40.12	1.61	3.43
13.96	1.23	2.28
22.71	1.46	2.35
36.02	1.13	3.84
35.88	1.41	3.63
37.32	1.52	4.19
20.70	0.78	2.61
13.23	0.69	1.96
29.54	1.59	3.41
36.16	1.36	3.81
20.19	0.95	2.97
25.53	1.51	3.16
32.81	1.26	3.98
28.37	1.35	3.55
28.36	1.25	3.46
29.37	0.80	3.59
34.51	1.23	3.34
32.10	1.38	3.68
27.22	0.64	2.39
20.08	1.10	2.14
17.04	1.13	2.14
26.20	0.86	2.69
